country,vat_type,category_id,rate_type,rate_value,comment
BE,REDUCED,FOODSTUFFS,REDUCED_RATE,6.0,"Royal Decree N° 20, Table A, category III fish, crustaceans, shellfish and mollusks for human consumption, excepted:
- crabs, crawfish, lobsters of the Homarus species, crayfish and oysters, boiled only in water, chilled, frozen, dried, salted or in brine; and preparations and preserves of crabs, crawfish, lobsters of the Homarus species, crayfish and oysters, in their shell, whole or in part in 1605 3010, 1605 3090, 1605 1000, 1605 5100, 1605 4000 30, 1605 4000 4, 1605 4000 70, 1605 5900"
BE,REDUCED,FOODSTUFFS,EXEMPTED,0.0,"Article 44, § 2, 1ter of the Belgian VAT Code for the supply of breast milk

The exemption only applies to breast milk in 0401 1010-0401 2099, 0402 1011, 0402 1019, 0402 2111, 0402 2118, 0402 9110-0402 9199"
BE,REDUCED,PHARMACEUTICAL_PRODUCTS,EXEMPTED,0.0,"Article 44, § 2, 1ter of the Belgian VAT Code for the supply of human organs and human blood"
BE,REDUCED,LOAN_LIBRARIES,EXEMPTED,0.0,"Exemption with deduction right - Newspapers and some periodical publications under the conditions provided for in Royal Decree N° 20, Table C, category I  (on paper and digital) and that do not fall under the mentioned exceptions
The reduced rate only applies for those goods in 4902"
BE,REDUCED,LOAN_LIBRARIES,EXEMPTED,0.0,"Article 44, § 3, 12° of the Belgian VAT Code, article 44, § 3, 9° of the Belgian VAT Code and article 44, § 3, 10° of the Belgian VAT Code

The exemptions respectively only applies to:
- deliveries, at face value, of postage stamps with a franking value within the country, fiscal stamps and other similar stamps in 4907 0010
- which are legal tender in the issuing country at the time of importation in 4907 0030
- securities in 4907 0090 
in the context above"
BE,REDUCED,TRANSPORT_PASSENGERS,EXEMPTED,0.0,"Sea passenger transport, international air passenger transport, transport of luggage and cars accompanied by passengers during sea passenger transport and international air passenger transport - Article 41, § 1, 1° of the Belgian VAT Code"
BE,REDUCED,WRITERS_SERVICES,EXEMPTED,0.0,"Article 44, § 3, 3° of the Belgian VAT Code. The VAT exemption only applies to publishing agreement of literary and artistic works concluded by authors and performers."
BE,REDUCED,WRITERS_SERVICES,EXEMPTED,0.0,"Performing artists exempted if their services are rendered directly to the organisors according to article 44, §2, 8° of the Belgian VAT Code. The exemption only applies to:
- artists (actors, conductors, musicians and other artists for the performance of theatrical, choreographic, cinematographic or musical works or those of circus shows,music halls or artistic cabaret)
- speakers in meeting on educational topics for the participants
- sport professionals."
BE,REDUCED,MEDICAL_CARE,EXEMPTED,0.0,"The exemption is applicable under the conditions as set out in article 44, § 1 and § 2, 1°, of the Belgian VAT Code"
BE,REDUCED,TRANSPORT_PASSENGERS,EXEMPTED,0.0,"The transport of sick or injured persons with specially equipped means of transport - Article 44, § 2, 1°, b), of the Belgian VAT Code"
BE,REDUCED,CULTURAL_EVENTS,EXEMPTED,0.0,"Institutions who are recognised by the government and whose revenues are only used to cover their operational costs according to article 44, § 2, 7° and 9° of the Belgian VAT Code

The exemption only applies to 90.02.11, 90.04, 91.02.10, 91.03.10, 91.04.11 in that context."
